Code;Nom_commune;Code_postal;Zonage dentistes
01215;SURJOUX LHOPITAL;01420;1_Tres_sous_dotee
01215;SURJOUX LHOPITAL;01420;1_Tres_sous_dotee
01216;LHUIS;01680;1_Tres_sous_dotee
01219;LOMPNAS;01680;1_Tres_sous_dotee
01224;LOYETTES;01360;1_Tres_sous_dotee
01225;LURCY;01090;3_intermediaire
01227;MAGNIEU;01300;1_Tres_sous_dotee
01227;MAGNIEU;01300;1_Tres_sous_dotee
01228;MAILLAT;01430;1_Tres_sous_dotee
01229;MALAFRETAZ;01340;1_Tres_sous_dotee
01230;MANTENAY MONTLIN;01560;1_Tres_sous_dotee
01231;MANZIAT;01570;1_Tres_sous_dotee
01232;MARBOZ;01851;1_Tres_sous_dotee
01233;MARCHAMP;01680;1_Tres_sous_dotee
01234;MARIGNIEU;01300;1_Tres_sous_dotee
01235;MARLIEUX;01240;2_Sous_dotee
01236;MARSONNAS;01340;1_Tres_sous_dotee
01237;MARTIGNAT;01100;3_intermediaire
01238;MASSIEUX;01600;3_intermediaire
01239;MASSIGNIEU DE RIVES;01300;1_Tres_sous_dotee
01240;MATAFELON GRANGES;01580;3_intermediaire
01240;MATAFELON GRANGES;01580;3_intermediaire
01241;MEILLONNAS;01370;3_intermediaire
01242;MERIGNAT;01450;3_intermediaire
01243;MESSIMY SUR SAONE;01480;4_Tres_dotee
01244;MEXIMIEUX;01800;1_Tres_sous_dotee
01245;BOHAS MEYRIAT RIGNAT;01250;3_intermediaire
01245;BOHAS MEYRIAT RIGNAT;01250;3_intermediaire
01245;BOHAS MEYRIAT RIGNAT;01250;3_intermediaire
01246;MEZERIAT;01660;1_Tres_sous_dotee
01247;MIJOUX;01170;3_intermediaire
01247;MIJOUX;01410;3_intermediaire
01248;MIONNAY;01390;2_Sous_dotee
01249;MIRIBEL;01700;1_Tres_sous_dotee
01249;MIRIBEL;01700;1_Tres_sous_dotee
01249;MIRIBEL;01700;1_Tres_sous_dotee
01250;MISERIEUX;01600;3_intermediaire
01252;MOGNENEINS;01140;1_Tres_sous_dotee
01254;MONTAGNAT;01250;1_Tres_sous_dotee
01255;MONTAGNIEU;01470;1_Tres_sous_dotee
01257;MONTANGES;01200;1_Tres_sous_dotee
01258;MONTCEAUX;01090;3_intermediaire
01259;MONTCET;01310;3_intermediaire
01260;LE MONTELLIER;01800;1_Tres_sous_dotee
01261;MONTHIEUX;01390;2_Sous_dotee
01262;MONTLUEL;01120;1_Tres_sous_dotee
01262;MONTLUEL;01120;1_Tres_sous_dotee
01262;MONTLUEL;01120;1_Tres_sous_dotee
01263;MONTMERLE SUR SAONE;01090;3_intermediaire
01264;MONTRACOL;01310;3_intermediaire
01265;MONTREAL LA CLUSE;01460;1_Tres_sous_dotee
01266;MONTREVEL EN BRESSE;01340;1_Tres_sous_dotee
01267;NURIEUX VOLOGNAT;01460;1_Tres_sous_dotee
01267;NURIEUX VOLOGNAT;01460;1_Tres_sous_dotee
01268;MURS ET GELIGNIEUX;01300;1_Tres_sous_dotee
01269;NANTUA;01130;1_Tres_sous_dotee
01269;NANTUA;01460;1_Tres_sous_dotee
01272;NEUVILLE LES DAMES;01400;1_Tres_sous_dotee
01273;NEUVILLE SUR AIN;01160;3_intermediaire
01274;LES NEYROLLES;01130;1_Tres_sous_dotee
01275;NEYRON;01700;1_Tres_sous_dotee
01276;NIEVROZ;01120;3_intermediaire
01277;NIVOLLET MONTGRIFFON;01230;3_intermediaire
01279;ONCIEU;01230;3_intermediaire
01280;ORDONNAZ;01510;1_Tres_sous_dotee
01281;ORNEX;01210;3_intermediaire
01282;OUTRIAZ;01430;1_Tres_sous_dotee
01283;OYONNAX;01100;3_intermediaire
01283;OYONNAX;01100;3_intermediaire
01283;OYONNAX;01100;3_intermediaire
01284;OZAN;01190;1_Tres_sous_dotee
01285;PARCIEUX;01600;3_intermediaire
01286;PARVES ET NATTAGES;01300;1_Tres_sous_dotee
